ArNr,Artikelbezeichnung,PreisD,Rabattpreis,PreisCH,VE,Lagerbestand_generell,Bestelldatum1,Bestellmenge1,Bestelldatum2,Bestellmenge2,Bestelldatum3,Bestellmenge3,Kategorie,Subkategorie,Lagerbestand_sofort,Exportkennzeichen,Farbe,Groesse,Kennzeichen,Lagerbestand_physisch,
000003,          Holzstab                  3 mm,       0,       0,       0,     1,       622,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            622,1,          natur,              0,              000003,622,
000004,          Holzstab                  4 mm,       0,       0,       0,    10,       254,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            254,1,          natur,              0,              000003,254,
000006,          Holzstab                  6 mm,       0,       0,       0,     1,        90,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             90,1,          natur,              0,              000003,90,
000008,          Holzstab                  8 mm,       0,       0,       0,    20,        18,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             18,1,          natur,              0,              000003,18,
001005021,  Leuchte Pine schwarz 79cm *NICE PRICE*,   65.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005022,  Leuchte Pine schwarz 60cm *NICE PRICE*,   49.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005023,     Leuchte Pine wei� 79cm *NICE PRICE*,   65.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001005024,     Leuchte Pine wei� 60cm *NICE PRICE*,   49.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008001,     Leuchte Dusk wei� 80cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008002,  Leuchte Dusk schwarz 80cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008004,     Leuchte Dawn wei� 75cm *NICE PRICE*,   29.99,       0,       0,     1,        -2,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             -2, ,undefiniert,undefiniert,                    ,-2,
001008005,  Leuchte Dawn schwarz 75cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
001008006,     Leuchte Dawn gold 75cm *NICE PRICE*,   39.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
004005007,      Schale Pine gold 62cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
004005008,   Schale Pine schwarz 62cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
004005009,      Schale Pine wei� 62cm *NICE PRICE*,   29.99,       0,       0,     1,         0,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,              0, ,undefiniert,undefiniert,                    ,0,
222162,           Pokal Tazza mocca matt 16.5cm,    3.99,       0,    6.99,     4,        59,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             59,1,     mocca matt,           16.5,              222162,59,
222163,           Pokal Tazza mocca matt 19.5cm,    6.99,       0,   11.19,     2,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             11,1,     mocca matt,           19.5,              222162,11,
222164,             Pokal Tazza mocca matt 22cm,   11.99,       0,   18.19,     2,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             15,1,     mocca matt,             22,              222162,15,
222507, Teelichtkugel Ramos Inspirio schw. 11cm,    1.59,       0,    2.99,     6,       122,          ,     ,          ,     ,          ,     ,                       KERAMIK,              TEE-/WINDLICHTER,            122,1,        schwarz,undefiniert,              222507,122,
222508, Teelichtkugel Ramos Inspirio schw. 16cm,    2.29,       0,    4.69,     6,       118,          ,     ,          ,     ,          ,     ,                       KERAMIK,              TEE-/WINDLICHTER,            118,1,        schwarz,undefiniert,              222507,118,
222512,    Dekokugel Ramos Inspirio schwarz 9cm,    0.79,       0,    2.09,     6,        89,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,             89,1,        schwarz,undefiniert,              222507,89,
222513,   Dekokugel Ramos Inspirio schwarz 11cm,    0.99,       0,    2.99,     6,       168,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,            168,1,        schwarz,undefiniert,              222507,168,
222514,   Dekokugel Ramos Inspirio schwarz 16cm,    1.99,       0,    4.69,     6,       162,          ,     ,          ,     ,          ,     ,                       KERAMIK,                  DEKO-OBJEKTE,            162,1,        schwarz,undefiniert,              222507,162,
224200,      K�bel Daisy flower power wei� 12cm,    0.79,       0,    1.09,     9,         9,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              9,1,           wei�,             12,              224200,9,
224201,      K�bel Daisy flower power wei� 14cm,    0.79,       0,    0.99,     9,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              2,1,           wei�,             14,              224200,2,
224202,      K�bel Daisy flower power wei� 16cm,    0.99,       0,    1.39,     6,       202,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            202,1,           wei�,             16,              224200,202,
224203,      K�bel Daisy flower power wei� 18cm,    1.39,       0,    1.99,     4,       149,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            149,1,           wei�,             18,              224200,149,
224212,        K�bel New Sila Wood vintage 12cm,    1.59,       0,    2.19,     9,        22,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             22,1,        vintage,             12,              224204,22,
224213,        K�bel New Sila Wood vintage 14cm,    1.99,       0,    2.69,     9,       162,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            162,1,        vintage,             14,              224204,162,
224214,        K�bel New Sila Wood vintage 16cm,    2.59,       0,    3.59,     6,        40,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             40,1,        vintage,             16,              224204,40,
224222,    K�bel New Sila Stone grau-beige 16cm,    1.89,       0,    2.59,     6,        11,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             11,1,     grau-beige,             16,              224204,11,
224652,                 Zylinderk�bel wei� 12cm,       0,       0,       0,    18,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             16,1,           wei�,             12,              224652,16,
224653,                SmartPot Mum wei� 13.5cm,    1.99,       0,    2.79,     6,       179,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,            179,1,     i love mum,           13.5,              224653,179,
224654,                 Zylinderk�bel wei� 15cm,    2.59,       0,       0,    10,       205,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            205,1,           wei�,undefiniert,              224652,205,
224699,         Mini-K�bel Nemo deluxe wei� 8cm,    0.99,       0,    1.39,    20,       256,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            256,1,           wei�,              8,              224699,256,
224700,             K�bel Nemo deluxe wei� 13cm,    1.99,       0,    2.79,     8,       323,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            323,1,           wei�,             13,              224699,323,
224701,             K�bel Nemo deluxe wei� 15cm,    2.99,       0,    4.19,     5,        83,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             83,1,           wei�,             15,              224699,83,
224702,             K�bel Nemo deluxe wei� 18cm,    4.99,       0,    6.99,     4,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             24,1,           wei�,             18,              224699,24,
224706,             K�bel Nemo deluxe grau 15cm,    2.99,       0,    4.19,     5,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             15,1,           grau,             15,              224699,15,
224707,             K�bel Nemo deluxe grau 18cm,    4.99,       0,    6.99,     4,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             15,1,           grau,             18,              224699,15,
224717,             K�bel Nemo deluxe oliv 18cm,    4.99,       0,    6.99,     4,        20,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             20,1,           oliv,             18,              224699,20,
224726,         K�bel Nemo deluxe gold-kiwi 8cm,    0.99,       0,    1.39,    20,        95,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             95,1,      gold-kiwi,              8,              224699,95,
224727,        K�bel Nemo deluxe gold-kiwi 13cm,    1.99,       0,    2.79,     8,        72,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             72,1,      gold-kiwi,             13,              224699,72,
224728,        K�bel Nemo deluxe gold-kiwi 15cm,    2.99,       0,    4.19,     5,        51,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             51,1,      gold-kiwi,             15,              224699,51,
224730,         K�bel Nemo deluxe grau-blau 8cm,    0.99,       0,    1.39,    20,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              1,1,      grau-blau,              8,              224699,1,
224731,        K�bel Nemo deluxe grau-blau 13cm,    1.99,       0,    2.79,     8,        56,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             56,1,      grau-blau,             13,              224699,56,
224732,        K�bel Nemo deluxe grau-blau 15cm,    2.99,       0,    4.19,     5,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             10,1,      grau-blau,             15,              224699,10,
224734,             K�bel Nemo deluxe apfel 8cm,    0.99,       0,    1.39,    20,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              3,1,          apfel,              8,              224699,3,
224735,            K�bel Nemo deluxe apfel 13cm,    1.99,       0,    2.79,     8,        64,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             64,1,          apfel,             13,              224699,64,
224742,           K�bel Nemo deluxe flieder 8cm,    0.99,       0,    1.39,    20,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              1,1,        flieder,              8,              224699,1,
224743,          K�bel Nemo deluxe flieder 13cm,    1.99,       0,    2.79,     8,        45,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             45,1,        flieder,             13,              224699,45,
224744,          K�bel Nemo deluxe flieder 15cm,    2.99,       0,    4.19,     5,       145,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            145,1,        flieder,             15,              224699,145,
224745,          K�bel Nemo deluxe flieder 18cm,    4.99,       0,    6.99,     4,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             16,1,        flieder,             18,              224699,16,
224746,         Kugeltopf Pita Wood coco 13.5cm,    0.99,       0,    1.39,     8,        40,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             40,1,           coco,           13.5,              224746,40,
224768,              K�bel Merry Xmas gr�n 12cm,    0.79,       0,    0.99,     9,        54,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             54,1,           gr�n,             12,              224765,54,
224769,            K�bel Merry Xmas gr�n 13.5cm,    0.99,       0,    1.39,     8,        80,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             80,1,           gr�n,           13.5,              224765,80,
224771,             K�bel Merry Xmas beere 12cm,    0.79,       0,    0.99,     9,        45,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             45,1,          beere,             12,              224765,72,
224774,                     K�bel Mao wei� 12cm,    0.99,       0,    1.39,     9,        89,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             89,1,           wei�,             12,              224774,89,
224778,                  K�bel Mao violett 12cm,    0.99,       0,    1.39,     9,       108,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,            108,1,        violett,             12,              224774,108,
224779,                K�bel Mao violett 13.5cm,    1.59,       0,    2.19,     6,        18,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             18,1,        violett,           13.5,              224774,18,
224781,                  K�bel Mao violett 18cm,    2.99,       0,    4.19,     4,         8,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,              8,1,        violett,             18,              224774,8,
224782,                     K�bel Mao gr�n 12cm,    0.99,       0,    1.39,     9,        99,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             99,1,           gr�n,             12,              224774,99,
224783,                   K�bel Mao gr�n 13.5cm,    1.59,       0,    2.19,     6,        11,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,             11,1,           gr�n,           13.5,              224774,11,
224785,                     K�bel Mao gr�n 18cm,    2.99,       0,    6.39,     4,         1,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,                         K�BEL,              1,1,           gr�n,             18,              224774,1,
224901,                K�bel New Sila wei� 12cm,    1.59,       0,    2.19,     9,       117,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            117,1,           wei�,             12,              224900,117,
224903,                K�bel New Sila wei� 16cm,    2.79,       0,    3.79,     6,        96,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             96,1,           wei�,             16,              224900,96,
224904,                K�bel New Sila wei� 18cm,    3.99,       0,    5.39,     4,        16,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             16,1,           wei�,             18,              224900,16,
224910,                K�bel New Sila �cru 10cm,    1.29,       0,    1.79,    16,       224,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            224,1,           �cru,             10,              224900,224,
224913,                K�bel New Sila �cru 16cm,    2.79,       0,    3.79,     6,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              1,1,           �cru,             16,              224900,1,
224914,                K�bel New Sila �cru 18cm,    3.99,       0,    5.39,     4,        28,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             28,1,           �cru,             18,              224900,28,
224945,                K�bel New Sila gr�n 12cm,    1.59,       0,    2.19,     9,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              4,1,           gr�n,             12,              224900,4,
224946,                K�bel New Sila gr�n 14cm,    1.99,       0,    2.69,     9,        81,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             81,1,           gr�n,             14,              224900,81,
224947,                K�bel New Sila gr�n 16cm,    2.79,       0,    3.79,     6,        78,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             78,1,           gr�n,             16,              224900,78,
224948,                K�bel New Sila gr�n 18cm,    3.99,       0,    5.39,     4,        12,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             12,1,           gr�n,             18,              224900,12,
224952,                K�bel New Sila gelb 16cm,    2.79,       0,    3.79,     6,         1,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              1,1,           gelb,             16,              224900,1,
224954,              K�bel New Sila orange 10cm,    1.29,       0,    1.79,    16,        48,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             48,1,         orange,             10,              224900,48,
224966,                 K�bel New Sila rot 12cm,    1.59,       0,    2.19,     9,        99,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             99,1,            rot,             12,              224900,99,
224967,                 K�bel New Sila rot 14cm,    1.99,       0,    2.69,     9,        54,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             54,1,            rot,             14,              224900,54,
224969,                 K�bel New Sila rot 18cm,    3.99,       0,    5.39,     4,         4,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              4,1,            rot,             18,              224900,4,
224970,              K�bel New Sila petrol 10cm,    1.29,       0,    1.79,    16,       254,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            254,1,         petrol,             10,              224900,254,
224971,              K�bel New Sila petrol 12cm,    1.59,       0,    2.19,     9,       231,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            231,1,         petrol,             12,              224900,231,
224972,              K�bel New Sila petrol 14cm,    1.99,       0,    2.79,     9,       162,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            162,1,         petrol,             14,              224900,162,
224973,              K�bel New Sila petrol 16cm,    2.79,       0,    3.89,     6,       126,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            126,1,         petrol,             16,              224900,126,
224974,              K�bel New Sila petrol 18cm,    3.99,       0,    5.59,     4,        88,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             88,1,         petrol,             18,              224900,88,
224980,               K�bel New Sila braun 10cm,    1.29,       0,    1.79,    16,        31,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             31,1,          braun,             10,              224900,63,
224981,               K�bel New Sila braun 12cm,    1.59,       0,    2.19,     9,         8,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              8,1,          braun,             12,              224900,8,
224982,               K�bel New Sila braun 14cm,    1.99,       0,    2.79,     9,        97,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             97,1,          braun,             14,              224900,115,
224984,               K�bel New Sila braun 18cm,    3.99,       0,    5.59,     4,        76,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             76,1,          braun,             18,              224900,84,
224985,            K�bel New Sila kaminrot 10cm,    1.29,       0,    1.79,    16,       126,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            126,1,       kaminrot,             10,              224900,126,
224986,            K�bel New Sila kaminrot 12cm,    1.59,       0,    2.19,     9,       153,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            153,1,       kaminrot,             12,              224900,153,
224995,         K�bel New Sila dunkel grau 10cm,    1.29,       0,    1.79,    16,        80,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             80,1,    dunkel grau,             10,              224900,80,
225511,      Teelicht Cube Inspirio schwarz 7cm,    1.59,       0,    2.29,     6,        71,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             71, ,undefiniert,            7.5,                    ,71,
226505,Holzunterteil f. Tischlicht Hilto 13.5cm,    3.99,       0,    5.19,     1,       155,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            155, ,undefiniert,undefiniert,                    ,155,
227147,   Glask�bel Bali SAJA� dark cognac 18cm,   18.99,       0,   26.59,     2,        20,          ,     ,          ,     ,          ,     ,UNKATEGORISIERT,UNKATEGORISIERT,             20, ,undefiniert,             18,                    ,20,
227226,     Glasvase Goa SAJA� orange rund 35cm,   19.99,       0,   25.99,     1,        23,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         VASEN,             23,1,         orange,           16.5,              227226,23,
227500,          Glaszylinder f. Windlicht 14cm,    2.99,       0,    3.99,     1,      1300,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,           1300, ,undefiniert,              7,                    ,1300,
228500,       Holzfu� f. Tischlicht Woody Kegel,     2.1,       0,     2.8,     6,       290,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            290, ,undefiniert,undefiniert,                    ,290,
306382,    Schale l'Agio Premium Line wei� 60cm,      69,       0,      89,     1,         3,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,              3, ,undefiniert,             60,                    ,3,
309336,         K�bel Carlo X wei�/schwarz 14cm,    3.99,       0,    5.59,    12,        77,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             77,1,   wei�/schwarz,             14,              309336,77,
309337,         K�bel Carlo X wei�/schwarz 16cm,    5.59,       0,    7.79,     6,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              6,1,   wei�/schwarz,             16,              309336,6,
309340,         K�bel Carlo X wei�/schwarz 27cm,   14.99,       0,   20.99,     2,         6,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              6,1,   wei�/schwarz,             27,              309336,6,
309341,        Schale Carlo X wei�/schwarz 24cm,    6.79,       0,    9.59,     4,         7,          ,     ,          ,     ,          ,     ,                       KERAMIK,                       SCHALEN,              7,1,   wei�/schwarz,             24,              309336,7,
309342,        Schale Carlo X wei�/schwarz 28cm,   10.59,       0,   14.99,     2,        10,          ,     ,          ,     ,          ,     ,                       KERAMIK,                       SCHALEN,             10,1,   wei�/schwarz,             28,              309336,10,
309805,                K�bel Monstera wei� 12cm,    3.99,       0,    5.59,    12,        24,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             24,1,  monstera wei�,undefiniert,              309805,24,
309809,                K�bel Monstera wei� 24cm,   12.99,       0,   18.49,     2,         2,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,              2,1,  monstera wei�,undefiniert,              309805,2,
319049,  K�bel Rondo Pop sort. 11cm (f�r PC9.5),    0.89,       0,    1.25,    12,       912,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            912,1,       sortiert,             11,              319049,972,
319050, K�bel Rondo Pop sort. 12cm (f�r PC10.5),    0.99,       0,    1.39,     9,        90,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             90,1,       sortiert,             12,              319049,153,
319053,     Orchideenaktion QPots II wei� sort.,    2.19,    1.99,    2.99,     6,      2090,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,           2090,1,           wei�,undefiniert,              319053,2330,
319311,             Schale Rondo Pop sort. 17cm,    1.49,       0,    2.09,    12,       544,          ,     ,          ,     ,          ,     ,                       KERAMIK,                       SCHALEN,            544,1,       sortiert,             17,              319049,604,
319317,                   Schale Rondo rot 17cm,    1.29,    0.99,    1.69,    12,       406,16.08.2021,360  ,          ,     ,          ,     ,                       KERAMIK,                       SCHALEN,             46,1,            rot,             17,              829167,46,
319318,                   Schale Rondo rot 20cm,    1.99,    1.59,    2.59,    12,       300,          ,     ,          ,     ,          ,     ,                       KERAMIK,                       SCHALEN,            300,1,            rot,             20,              829167,300,
319638,                   K�bel Pixel pink 19cm,    1.59,    2.79,    4.19,     6,       168,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,            168, ,undefiniert,             19,                    ,168,
319640,                   K�bel Pixel pink 25cm,    4.99,       0,    6.99,     1,        48,          ,     ,          ,     ,          ,     ,                       KERAMIK,UNKATEGORISIERT,             48, ,undefiniert,             25,                    ,48,
319646,                   K�bel Pixel gelb 15cm,    0.79,       0,    1.99,     6,       149,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            149,1,           gelb,             15,              319623,149,
319648,                   K�bel Pixel gelb 19cm,    1.59,       0,    4.19,     6,        83,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             83,1,           gelb,             19,              319623,83,
319650,                 K�bel Pixel orange 15cm,    0.79,       0,    1.99,     6,        66,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             66,1,         orange,             15,              319623,66,
319653,                   K�bel Pixel gr�n 12cm,    0.59,    0.89,    1.39,     9,       167,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            167,1,           gr�n,             12,              319623,167,
319655,                   K�bel Pixel gr�n 17cm,    1.29,    2.09,    3.19,     6,        15,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             15,1,           gr�n,             17,              319623,15,
319701,            K�bel Bud Living wei� 10.5cm,    0.89,       0,    1.29,    12,       360,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            360,1,           wei�,           10.5,              319700,360,
319708,               K�bel Bud Living rosa 9cm,    0.69,       0,    0.99,    20,      1100,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,           1100,1,           rosa,              9,              319700,1100,
319709,            K�bel Bud Living rosa 10.5cm,    0.89,       0,    1.29,    12,       543,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            543,1,           rosa,           10.5,              319700,543,
319710,              K�bel Bud Living rosa 13cm,    0.99,       0,    1.39,     9,       531,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            531,1,           rosa,             13,              319700,531,
319711,            K�bel Bud Living rosa 15.5cm,    1.59,       0,    2.19,     6,       258,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            258,1,           rosa,           15.5,              319700,258,
319712,              K�bel Bud Living rosa 17cm,    1.99,       0,    2.79,     6,       225,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            225,1,           rosa,             17,              319700,225,
319713,              K�bel Bud Living rosa 19cm,    2.79,       0,    3.89,     6,       437,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            437,1,           rosa,             19,              319700,437,
319714,            K�bel Bud Living rosa 22.5cm,    3.29,       0,    4.59,     1,       151,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            151,1,           rosa,           22.5,              319700,151,
319715,              K�bel Bud Living rosa 26cm,    4.79,       0,    6.69,     1,       179,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            179,1,           rosa,             26,              319700,179,
319717,            K�bel Bud Living �cru 10.5cm,    0.89,       0,    1.29,    12,        71,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             71,1,           �cru,           10.5,              319700,71,
319718,              K�bel Bud Living �cru 13cm,    0.99,       0,    1.39,     9,        96,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             96,1,           �cru,             13,              319700,96,
319719,            K�bel Bud Living �cru 15.5cm,    1.59,       0,    2.19,     6,        84,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,             84,1,           �cru,           15.5,              319700,108,
319720,              K�bel Bud Living �cru 17cm,    1.99,       0,    2.79,     6,       252,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            252,1,           �cru,             17,              319700,252,
319721,              K�bel Bud Living �cru 19cm,    2.79,       0,    3.89,     6,       180,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            180,1,           �cru,             19,              319700,180,
319732,              K�bel Palm dunkelgr�n 15cm,    0.39,       0,    0.99,     6,       290,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            290,1,     dunkelgr�n,undefiniert,              319732,290,
319733,              K�bel Palm dunkelgr�n 17cm,    0.79,       0,    1.39,     6,       224,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            224,1,     dunkelgr�n,undefiniert,              319732,224,
319734,            K�bel Palm dunkelgr�n 19.5cm,    1.29,       0,    2.19,     6,       168,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            168,1,     dunkelgr�n,undefiniert,              319732,168,
319735,              K�bel Palm dunkelgr�n 22cm,    1.59,       0,    2.79,     4,       132,          ,     ,          ,     ,          ,     ,                       KERAMIK,                         K�BEL,            132,1,     dunkelgr�n,undefiniert,              319732,132,
